Song Title/Album Title,Year,Main Artist,Featured Artist,Director(s),Director Gender,Director Race,Beyonce Collaboration,Description
Jealous,2013,Beyonce,,Francesco Carrozzini and Todd Tourso,,,Beyonce Co-Director,"The video for ""Jealous"" is considered to be a sequel to the previous clip 
on the album, ""Partition""."
Rocket,2013,Beyonce,,Ed Burke and Bill Kirstein,Male/Male,Caucasian,Beyonce Co-Director,"The black-and-white video features various close-up shots of Beyoncé 
throughout; she is seen writhing on a bed dressed in lingerie, eating 
strawberries, having a shower inside a bathtub, playing on a piano, walking 
along a hotel corridor and lighting up a cigarette atop a car."
Mine,2013,Beyonce,Drake,Pierre Debusschere,Male,Caucasian,,"The video picks up on the theme of isolation and references two works of 
art: Michelangelo's sculpture ""Pietà"" and René Magritte's painting ""The 
Lovers"" (1928). Beyoncé is shown wearing a veil and a gown with a mask of 
her own face on her hand, that she later puts on, simulating a statue's 
peaceful expression. Among other scenes the video shows a couple kissing 
with their heads enshrouded by white fabric. Drake also appears in the 
video."
XO,2013,Beyonce,,Terry Richardson,Male,Caucasian,,The music video was filmed on Coney Island's Cyclone roller coaster.
Flawless,2013,Beyonce,Chimamanda Ngozi Adichie,Jake Nava,Male,Biracial,,"The video opens with original footage from *Star Search*, with young 
Beyoncé and other members of Girl's Tyme being announced by Ed McMahon. It 
transitions to other scenes shot in black-and-white, showing Beyoncé 
headbanging and moshing with members of a punk subculture, as well as 
dancing with a team of street dancers in a graffiti covered alley."
Superpower,2013,Beyonce,Frank Ocean,Jonas Åkerlund,Male,Caucasian,,"The video was filmed in a former shopping mall and presents a 
post-apocalyptic street war theme. The video features cameos by Kelly 
Rowland and Michelle Williams, as well as Pharrell Williams."
Heaven,2013,Beyonce,,Todd Tourso,Male,Caucasian,Beyonce Co-Director,"The video was shot in Puerto Rico and shows happy visuals of Beyoncé and a 
friend doing many amazing things together. The video implies the scenes of 
the girls together was actually Beyoncé's friend's bucket list, but she has 
actually passed away."
Blue,2013,Beyonce,Blue Ivy Carter,Ed Burke and Bill Kirstein,Male/Male,Caucasian,Beyonce Co-Director,"The video is an intimate and touching diary of two-year-old Blue Ivy 
vacationing with her parents in Rio de Janeiro."
Grown Woman,2013,Beyonce,,Jake Nava,Male,Biracial,,"The video shows old footage of the singer as a child and teen and then 
re-enacting the footage in the present day as an adult."
Run,2014,Jay-Z,Jay-Z,Melina Matsoukas,,African American,,"The music video was revealed to be a ""faux-trailer"" entitled ""RUN"", with ""Part 
II (On the Run)"" playing in the background. The video, which features 
multiple celebrity cameos including Don Cheadle, Guillermo Díaz, Jake 
Gyllenhaal, Kidada Jones, Rashida Jones, Blake Lively, Emmy Rossum and Sean 
Penn, shows Beyoncé and Jay-Z out on a Bonnie and Clyde expedition, filled 
with action, crime, love and guns."
Say Yes,2014,Michelle Williams,Beyonce and Kelly Rowland,Matthew A. Cherry,Male,African American,,"The clip depicts the three singers at a street party, dancing and singing 
with a crowd, along with solo appearances of each singer in a forest, 
wearing white clothes."
7-11 - Song,2014,Beyonce,,Beyonce,Female,African American,,"The clip was shot in the style of a home-made visual with the singer 
dancing at various locations: patio, balcony, hotel suite, a bathroom and 
in front of a Christmas tree."
Flawless (Remix),2014,Beyonce,Nicki Minaj,Jonas Akerlund,Male,Caucasian,,"Live performance video filmed during the concert in Paris, France of the On 
the Run Tour. Minaj joins Beyoncé onstage to perform the ""Flawless 
(Remix)"". Both singers perform dressed in clothes designed by Versace's 
Versus."
Feeling Myself,2015,Nicki Minaj,Beyonce,Todd Tourso,Male,Caucasian,,"Released exclusively on the streaming service Tidal, the video features 
Minaj and Beyoncé partying in a pool."
Runnin' (Lose It All),2015,Naughty Boy and Arrow Benjamin,Naughty Boy and Arrow Benjamin,Charlie Robins,Male,Caucasian,,"The video depicts a woman and a man chasing each other underwater, 
portrayed by freedivers Guillaume Néry and Alice Modolo."
Hymn for the Weekend,2016,Coldplay,Beyonce,Ben Mor,Male,Caucasian,,"The video was shot in October 2015 at various Indian cities including 
scenes in the Bassein Fort in Vasai, Mumbai. The video features Beyoncé in 
elaborate Indian attire in various settings. Indian actress Sonam Kapoor 
also makes an appearance."
Formation,2016,Beyonce,,Melina Matsoukas,Female,African American,,"Shot in New Orleans, Louisiana, the video features references to Hurricane 
Katrina, antebellum, and Louisiana Creole culture, besides dealing with 
police brutality and racism."
Sorry,2016,Beyonce,,Kahlil Joseph,Male,African American,Beyonce Co-Director,"Filmed in black-and-white, the video features multiple cameo appearances by 
celebrities Serena Williams, Ibeyi, Amandla Stenberg, Quvenzhané Wallis, 
and Zendaya. Originally part of Beyoncé's *Lemonade* film that premiered on 
HBO, an official music video was uploaded to her YouTube channel in June 
2016."
Hold Up,2016,Beyonce,,Jonas Akerlund,Male,Caucasian,Beyonce Co-Director,"Originally part of the *Lemonade* film, the video features Beyoncé 
destroying multiple cars and security cameras using a baseball bat. 
According to Mashable, Beyoncé also makes reference of Oshun, a Yoruba 
goddess."
All Night,2017,Beyonce,,Melina Matsoukas,Female,African American,,"Includes footage from Beyoncé's home movies, including her and Jay Z's 
wedding day and spending family time with their daughter."
Sandcastles,2017,Beyonce,,Mark Romanek,Male,Caucasian,,"Also part of the film *Lemonade*, it features scenes of a tearful Beyoncé 
together with Jay Z who is seen embracing her, and laying together with 
her. Gerrick D. Kennedy from *Los Angeles Times* describes it as ""the most 
intimate of displays for pop's most intensely private couple""."
Love Drought,2017,Beyonce,,Kahlil Joseph,Male,African American,,"A troubled Beyoncé lies down in the middle of an empty football stadium. 
The singer leads a group of black women walking through water while the sun 
is setting."
Family Feud,2017,Beyonce,Jay-Z,Ava DuVernay,Female,African American,,"The video features multiple cameo appearances by actors Trevante Rhodes, Michael 
B. Jordan, Thandie Newton, Jessica Chastain, America Ferrera, David Oyelowo, 
Brie Larson, Rashida Jones, Mindy Kaling, Rosario Dawson, Omari Hardwick, 
Storm Reid, Emayatazy Corinealdi, Constance Wu, Janet Mock, Niecy Nash, Irene 
Bedard, Susan Kelchi Watson, Henry G. Sanders, etc. Jay-Z, Beyoncé and Blue 
Ivy are filmed in a church."
Apeshit,2018,Beyonce,The Carters,Ricky Saiz,Male,Caucasian,,On the Run II Tour and filmed in Louvre in Paris in May 2018.
Spirit + Bigger,2019,Beyonce,,"Jake Nava, Jon Favreau",Male/Male,Group,,"The music video was filmed at Havasu Falls, The Lion King, a waterfall in Havasu 
Creek, located in the Grand Canyon, Arizona, United States."
