Song Title/Album Title,Date,Event,Event Type,Special Guest,City,State,Country
Why Don't You Love Me,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
The Beautiful Ones,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Sex on Fire,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
1+1,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Irreplaceable,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Independent Women,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Bootylicious,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Bug a Boo,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Telephone,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Say My Name,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
"Jumpin', Jumpin'",6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Survivor,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
At Last,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Run the World - Girls,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Halo,6/26/11,Glastonbury Festival,Music Festival,,"Pilton, Somerset",,England
Crazy in Love,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Single Ladies - Put a Ring on It,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Naughty Girl,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Baby Boy,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
The Beautiful Ones,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Sex on Fire,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Best Thing I Never Had,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
1+1,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Irreplaceable,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Independent Women,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Bootylicious,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Bug a Boo,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Telephone,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Say My Name,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
"Jumpin', Jumpin'",7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Survivor,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
At Last,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Halo,7/9/11,T in the Park,Music Festival,,Kinross,,Scotland
Crazy in Love,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Single Ladies - Put a Ring on It,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Naughty Girl,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Baby Boy,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Best Thing I Never Had,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
1+1,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Irreplaceable,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Independent Women,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Bootylicious,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Bug a Boo,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Telephone,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Say My Name,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
"Jumpin', Jumpin'",7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Survivor,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Run the World - Girls,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Halo,7/10/11,Oxegen,Music Festival,,County Kildare,,Ireland
Unknown,9/13/13,Rock in Rio,Music Festival,,Rio de Janeiro city,,Brazil
Crazy in Love,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
I Care,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
7-11 - Song,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Diva,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Survivor,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Ring the Alarm,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Run the World - Girls,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Bow Down,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Flawless,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Say My Name,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Yoncé,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
"Jumpin', Jumpin'",9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Independent Women,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Drunk in Love,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Feeling Myself,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Partition,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Haunted,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Blow,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
XO,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Halo,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
1+1,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Love On Top,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
End of Time,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Single Ladies - Put a Ring on It,9/5/15,Made in America Festival,Music Festival,,Philadelphia,Pennsylvania,United States
Crazy in Love,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
Love On Top,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
XO,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
Halo,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
1+1,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
Drunk in Love,9/26/15,Global Citizen Festival,Music Festival,with Ed Sheeran ,New York City,New York,United States
7-11 - Song,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
Diva,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
Survivor,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
Ring the Alarm,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
Run the World - Girls,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
Flawless,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
Feeling Myself,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
Yoncé,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
"Jumpin', Jumpin'",9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
End of Time,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
Single Ladies - Put a Ring on It,9/26/15,Global Citizen Festival,Music Festival,,New York City,New York,United States
Redemption Song,9/26/15,Global Citizen Festival,Music Festival,with Pearl Jam ,New York City,New York,United States
Crazy in Love,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Freedom,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Lift Every Voice and Sing,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Formation,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Sorry,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Kitty Kat,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Bow Down,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
I Been On,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Drunk in Love,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Diva,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Flawless,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Feeling Myself,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Top Off,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
7-11 - Song,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Don't Hurt Yourself,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
I Care,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Partition,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Yoncé,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Mi Gente - Remix,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,with J Balvin ,Indio,California,United States
Baby Boy,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
You Don't Love Me,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
"No, No, No - Part 2",4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Hold Up,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Countdown,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Check on It,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Deja Vu,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,with Jay-Z ,Indio,California,United States
Run the World - Girls,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Lose My Breath,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,with Kelly Rowland and Michelle Williams,Indio,California,United States
Say My Name,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Soldier,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Get Me Bodied,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Single Ladies - Put a Ring on It,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Love On Top,4/14/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Crazy in Love,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Freedom,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Lift Every Voice and Sing,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Formation,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Sorry,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Kitty Kat,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Bow Down,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
I Been On,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Drunk in Love,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Diva,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Flawless,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Feeling Myself,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Top Off,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
7-11 - Song,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Don't Hurt Yourself,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
I Care,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Partition,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Yoncé,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Mi Gente - Remix,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,with J Balvin ,Indio,California,United States
Baby Boy,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
You Don't Love Me,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
"No, No, No - Part 2",4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Hold Up,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Countdown,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Check on It,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Deja Vu,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,with Jay-Z ,Indio,California,United States
Run the World - Girls,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Lose My Breath,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,"with Kelly Rowland and Michelle 
   Williams 
   ",Indio,California,United States
Say My Name,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Soldier,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Get Me Bodied,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Single Ladies - Put a Ring on It,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Love On Top,4/21/18,Coachella Valley Music and Arts Festival,Music Festival,,Indio,California,United States
Holy Grail,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Part II - On the Run,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
'03 Bonnie & Clyde,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Apeshit,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Nice,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,with Pharrell Williams ,Johannesburg,,South Africa
La-La-La,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
I Just Wanna Love U - Give It 2 Me,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,"with Pharrell Williams 
   ",Johannesburg,,South Africa
Drunk in Love,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Empire State of Mind,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
XO,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Perfect Duet,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,with Ed Sheeran ,Johannesburg,,South Africa
Ave Maria - Schubert,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Halo,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
No Church in the Wild,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Niggas in Paris,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Beach Is Better,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Formation,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Run the World - Girls,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Public Service Announcement,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
The Story of O.J.,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
7-11 - Song,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Deja Vu,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Show Me What You Got,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Crazy in Love,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Freedom,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Young Forever,12/2/18,Global Citizen Festival: Mandela 100 (with Jay-Z),Music Festival,,Johannesburg,,South Africa
Crazy in Love,6/6/03,Essence Awards - 16th,Awards Show,,Los Angeles,California,United States
"Theme from *New York, New York*",6/12/03,AFI Life Achievement Award -31st,Awards Show,,Los Angeles,California,United States
Crazy in Love,6/24/03,BET Awards - 3rd,Awards Show,with Jay-Z ,Los Angeles,California,United States
,8/28/03,MTV Video Music Awards - 20th,Awards Show,,New York City,New York,United States
Baby Boy,8/28/03,MTV Video Music Awards - 20th,Awards Show,,New York City,New York,United States
Crazy in Love,8/28/03,MTV Video Music Awards - 20th,Awards Show,with Jay-Z ,New York City,New York,United States
Baby Boy,10/27/03,Radio Music Awards - 4th,Awards Show,,Las Vegas,Nevada,United States
Baby Boy,11/6/03,MTV Europe Music Awards - 10th,Awards Show,with Sean Paul ,Edinburgh,,United Kingdom
"Me, Myself, and I",12/10/03,Billboard Music Awards - 14th,Awards Show,,Las Vegas,Nevada,United States
Baby Boy,1/24/04,NRJ Music Award - 5th,Awards Show,,Cannes,,France
Crazy in Love,1/24/04,NRJ Music Award - 5th,Awards Show,,Cannes,,France
Baby Boy,1/24/04,NRJ Music Awards Sweden,Awards Show,,Stockholm,,Sweeden
Crazy in Love,1/24/04,NRJ Music Awards Sweden,Awards Show,,Stockholm,,Sweeden
Purple Rain,2/8/04,Grammy Awards - 46th Annual,Awards Show,"with 
   Prince ",Los Angeles,California,United States
Baby I'm a Star,2/8/04,Grammy Awards - 46th Annual,Awards Show,,Los Angeles,California,United States
Crazy in Love,2/8/04,Grammy Awards - 46th Annual,Awards Show,,Los Angeles,California,United States
Let's Go Crazy,2/8/04,Grammy Awards - 46th Annual,Awards Show,,Los Angeles,California,United States
Dangerously in Love 2,2/8/04,Grammy Awards - 46th Annual,Awards Show,,Los Angeles,California,United States
Crazy in Love,2/17/04,BRIT Awards - 24th,Awards Show,,London,,England
Look to Your Path,2/27/05,Academy Awards - 77th,Awards Show,,Los Angeles,California,United States
Learn to Be Lonely,2/27/05,Academy Awards - 77th,Awards Show,,Los Angeles,California,United States
Believe,2/27/05,Academy Awards - 77th,Awards Show,with Josh Groban ,Los Angeles,California,United States
Proud Mary,12/4/05,Kennedy Center Honors -28th,Awards Show,,"Washington, D.C.",D.C.,United States
Deja Vu,6/27/06,BET Awards - 6th,Awards Show,with Jay-Z ,Los Angeles,California,United States
Ring the Alarm,8/31/06,MTV Video Music Awards - 23rd,Awards Show,,New York City,New York,United States
Ring the Alarm,11/15/06,World Music Awards - 18th,Awards Show,,London,,England
Deja Vu,11/15/06,World Music Awards - 18th,Awards Show,,London,,England
